drug_1,drug_2,relation_type,severity,mention_count,evidence_sentence
digoxin,sympathomimetics,effect,Moderate,1,Concomitant use of digoxin and sympathomimetics increases the risk of cardiac arrhythmias.
Barbiturates,corticosteroids,effect,Moderate,3,"Barbiturates may decrease the effectiveness of oral contraceptives, certain antibiotics, quinidine, theophylline, corticosteroids, anticoagulants, and beta blockers."
EQUETROTM,ethosuximide,mechanism,High,1,"Agents that have been found, or are expected to have decreased plasma levels in the presence of EQUETROTM due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipram"
EQUETROTM,Acetaminophen,mechanism,High,1,"Agents that have been found, or are expected to have decreased plasma levels in the presence of EQUETROTM due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipram"
kaolin,chloroquine,mechanism,High,1,Antacids and kaolin: Antacids and kaolin can reduce absorption of chloroquine;
non-steroidal anti-inflammatory agent,loop diuretics,effect,Moderate,3,"- Non-steroidal Anti-inflammatory Drugs: In some patients, the administration of a non-steroidal anti-inflammatory agent can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium-sparing and thiazide diuretics."
OMNICEF,antacid,advise,Moderate,1,"If antacids are required during OMNICEF therapy, OMNICEF should be taken at least 2 hours before or after the antacid."
pancreatin,Acarbose,mechanism,High,1,"Intestinal adsorbents (e. g., charcoal) and digestive enzyme preparations containing carbohydrate-splitting enzymes (e. g., amylase, pancreatin) may reduce the effect of Acarbose and should not be taken concomitantly."
anticoagulant,monoamine oxidase inhibitors,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
SULAR,phenytoin,mechanism,High,2,Coadministration of phenytoin with 40 mg SULAR tablets in epileptic patients lowered the nisoldipine plasma concentrations to undetectable levels.
VIRACEPT,astemizole,advise,Moderate,2,"Because a similar interaction is likely, VIRACEPT should also not be administered concurrently with astemizole."
anesthetics,DILAUDID,effect,Moderate,1,"Patients receiving other narcotic analgesics, general anesthetics, phenothiazines, tranquilizers, sedative-hypnotics, tricyclic antidepressants or other CNS depressants (including alcohol) concomitantly with DILAUDID may exhibit an additive CNS depression."
Clidinium,levodopa,effect,Moderate,1,"Clidinium may decrease the effect of phenothiazines, levodopa, and ketoconazole."
cromolyn sodium,isoproterenol,effect,Moderate,1,The addition of 540 mg/kg/day of cromolyn sodium (approximately 340 times the maximum recommended daily inhalation dose in adults on a mg/m2 basis) to 2.7 mg/kg/day of isoproterenol (approximately 7 times the maximum recommended daily inhalation dose in adults on a mg/m2 basis) appears to have incre
Nabilone,alcohol,effect,Moderate,2,"Nabilone has been shown to have an additive CNS depressant effect when given with either diazepam, secobarbitone sodium, alcohol or codeine."
beta-adrenergic antagonists,alpha-adrenergic stimulants,effect,Moderate,1,"Exaggerated hypertensive responses have been reported from the combined use of beta-adrenergic antagonists and alpha-adrenergic stimulants, including those contained in proprietary cold remedies and vasoconstrictive nasal drops."
vitamin D analogues,corticosteroids,mechanism,High,2,"Corticosteroids: A relationship of functional antagonism exists between vitamin D analogues, which promote calcium absorption, and corticosteroids, which inhibit calcium absorption."
Thyroid,digoxin,advise,Moderate,1,"Thyroid administration to a digitalized, hypothyroid patient may increase the dose requirement of digoxin."
IRESSA,vinorelbine,effect,Moderate,1,"Phase II clinical trial data, where IRESSA and vinorelbine have been used concomitantly, indicate that IRESSA may exacerbate the neutropenic effect of vinorelbine."
NSAIDs,warfarin,effect,Moderate,4,"Warfarin: The effects of warfarin and NSAIDs on GI bleeding are synergistic, such that users of both drugs together have a risk of serious GI bleeding higher than that of users of either drug alone."
benzodiazepines,amiodarone,int,Low,1,"Data from in vitro studies of benzodiazepines other than alprazolam suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, and nifedipine."
Trileptal,phenytoin,mechanism,High,2,"1- nc denotes a mean change of less than 10% 2- Pediatrics 3- Mean increase in adults at high Trileptal doses In vivo, the plasma levels of phenytoin increased by up to 40%, when Trileptal was given at doses above 1200 mg/day."
ketoprofen,probenecid,mechanism,High,2,"Probenecid: Probenecid increases both free and bound ketoprofen by reducing the plasma clearance of ketoprofen to about one-third, as well as decreasing its protein binding."
morphine,Neurontin,mechanism,High,1,"Morphine: A literature article reported that when a 60-mg controlled-release morphine capsule was administered 2 hours prior to a 600-mg Neurontin  capsule (N=12), mean gabapentin AUC increased by 44% compared to gabapentin administered without morphine."
Tetracycline,penicillin,effect,Moderate,3,"Tetracycline, a bacteriostatic antibiotic, may antagonize the bactercidal effect of penicillin and concurrent use of these drugs should be avoided."
sulfonylureas,beta adrenergic blocking agents,effect,Moderate,2,"The hypoglycemic action of sulfonylureas may be potentiated by certain drugs including nonsteroidal anti-inflammatory agents and other drugs that are highly protein bound, salicylates, sulfonamides, chloramphenicol, probenecid, coumarins, monoamine oxidase inhibitors, and beta adrenergic blocking ag"
MAOIs,fluoxetine,effect,Moderate,1,"In patients receiving nonselective monoamine oxidase inhibitors (MAOIs) (e.g., selegiline hydrochloride) in combination with serotoninergic agents (e.g., fluoxetine, fluvoxamine, paroxetine, sertraline, venlafaxine), there have been reports of serious, sometimes fatal, reactions."
Amprenavir,rifabutin,mechanism,High,3,"Amprenavir significantly decreases clearance of rifabutin and 25-O-desacetylrifabutin, and the combination is poorly tolerated."
